campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds
campaign_1_v3,A,42,nivel2,50000,1.2786056830455583,0.051603077916578276,0.5924741662637957,0.2557211366091117,1.0,0.21825396825396826,1.0,4.0,0.30291920658552074,5.0,0.16705772436171357,0.14516995652967946,50000,2026-05-12T20:36:34Z,28.433864599996014
campaign_1_v3,A,123,nivel2,50000,2.234777918743702,0.09054682405126538,0.4441002903197706,0.44695558374874056,1.0,0.20396825396825397,1.0,1.0,0.3600321427617769,-1.0,0.19473769439315464,0.19692085465820944,50000,2026-05-12T20:37:03Z,28.679151399992406
campaign_1_v3,A,456,nivel2,50000,2.4556829938784253,0.09603157010294594,0.3767472239221425,0.49113659877568516,1.0,0.19682539682539682,1.0,4.0,0.3637023806472176,-1.0,0.01821299113065923,0.1292100544116309,50000,2026-05-12T20:37:33Z,30.477861499995925
campaign_1_v3,A,789,nivel2,50000,0.8333757044387228,0.034927148034022595,0.5773195970818134,0.16667514088774454,1.0,0.19523809523809524,1.0,3.0,0.3632844438903876,19.0,0.26452432126076003,0.1510329322145725,50000,2026-05-12T20:38:05Z,32.027527900005225
campaign_1_v3,A,1024,nivel2,50000,1.1074023081609747,0.04793913960573223,0.4836190524380972,0.22148046163219495,1.0,0.2,1.0,4.0,0.35608642841301236,-1.0,0.2362836300040966,0.16300474576180068,50000,2026-05-12T20:38:37Z,31.217148099996848
campaign_1_v3,B,42,nivel2,50000,0.9717280949359385,0.04359761241175285,0.5931542546576274,0.19434561898718777,1.0,0.19523809523809524,1.0,1.0,0.43604714301181957,-1.0,0.21956416734033252,0.12462581305388261,50000,2026-05-12T20:39:50Z,72.69605729999603
campaign_1_v3,B,123,nivel2,50000,1.8999269497646512,0.09155810718390518,0.24334543450571494,0.3799853899529303,1.0,0.19603174603174603,1.0,3.0,0.4328577772303972,12.0,0.042680134958493224,0.1504442274698152,50000,2026-05-12T20:41:01Z,71.53034399999888
campaign_1_v3,B,456,nivel2,50000,1.375495934622462,0.05658796084316437,0.4220844501078145,0.2750991869244924,1.0,0.20317460317460317,1.0,4.0,0.4929271429852908,-1.0,0.25405071337085355,0.15998293061466737,50000,2026-05-12T21:04:28Z,1411.4457840000105
campaign_1_v3,B,789,nivel2,50000,1.5071463878629685,0.06580183932539273,0.44197959717359736,0.30142927757259375,1.0,0.19285714285714287,1.0,4.0,0.5158061910483484,8.0,0.3410557029358328,0.15674184498679977,50000,2026-05-12T21:05:55Z,84.9339388999797
campaign_1_v3,B,1024,nivel2,50000,0.3646845841810755,0.01268832390723738,1.0287551235241141,0.0729369168362152,1.0,0.2111111111111111,1.0,1.0,0.5334073019820074,-1.0,0.20482452127633682,0.14974185266791465,50000,2026-05-12T21:07:19Z,84.1392465000099
campaign_1_v3,C,42,nivel2,50000,0.8611198202362929,0.04772388017263024,0.1687902822123524,0.17222396404725857,0.8333333333333334,0.1738095238095238,0.41984126984126985,8.0,0.8088830948783277,18.0,0.39859786012513443,0.25661003223536727,50000,2026-05-12T21:08:19Z,60.321751699986635
campaign_1_v3,C,123,nivel2,50000,0.7914141654582949,0.04283006634832493,0.23292917142980263,0.15828283309165897,0.9,0.1865079365079365,0.43333333333333335,1.0,0.7414079361802174,17.0,0.34175198681152197,0.32026084688310275,50000,2026-05-12T21:09:14Z,54.27465320000192
campaign_1_v3,C,456,nivel2,50000,1.6498001477545212,0.08818355768068208,0.22350276120474066,0.3299600295509042,0.9,0.19047619047619047,0.4365079365079365,8.0,0.7219595238908253,20.0,0.3621070737605506,0.2836166413177496,50000,2026-05-12T21:10:06Z,52.13744650001172
campaign_1_v3,C,789,nivel2,50000,-0.12983667700882942,-0.0071665165701968025,0.543336919901633,-0.02596733540176595,0.9,0.16428571428571428,0.4365079365079365,3.0,0.7321169044839085,-1.0,0.5073245212888824,0.2733792576032362,50000,2026-05-12T21:10:58Z,51.252694700000575
campaign_1_v3,C,1024,nivel2,50000,0.8654655274231065,0.04689654892999332,0.22262701601230742,0.1730931054846213,0.9,0.20238095238095238,0.43333333333333335,18.0,0.7454989690265234,17.0,0.4788505219141097,0.27610693310068063,50000,2026-05-12T21:11:49Z,51.20984610001324
campaign_1_v3,D,42,nivel2,50000,0.9956466228857729,0.05488201232233093,0.26171638367039884,0.19912932457715454,0.8666666666666667,0.19603174603174603,0.4388888888888889,19.0,1.0540878573674635,17.0,0.4372739414656166,0.26856703330982107,50000,2026-05-12T21:12:58Z,68.78995580002083
