asset_coverage,campaign_id,candidate_hit_rate,model,precision_per_visited,recall_proxy,seed,topm_hit_rate
1.0,campaign_1_v2,1.0,A,0.21825396825396826,0.5,42,0.21825396825396826
1.0,campaign_1_v2,1.0,A,0.20396825396825397,0.5,123,0.20396825396825397
1.0,campaign_1_v2,1.0,A,0.19682539682539682,0.5,456,0.19682539682539682
1.0,campaign_1_v2,1.0,A,0.19523809523809524,0.5,789,0.19523809523809524
1.0,campaign_1_v2,1.0,A,0.2,0.5,1024,0.2
1.0,campaign_1_v2,1.0,B,0.19523809523809524,0.5,42,0.19523809523809524
1.0,campaign_1_v2,1.0,B,0.19603174603174603,0.5,123,0.19603174603174603
1.0,campaign_1_v2,1.0,B,0.20317460317460317,0.5,456,0.20317460317460317
1.0,campaign_1_v2,1.0,B,0.19285714285714287,0.5,789,0.19285714285714287
1.0,campaign_1_v2,1.0,B,0.2111111111111111,0.5,1024,0.2111111111111111
0.8333333333333334,campaign_1_v2,0.41984126984126985,C,0.20857142857142855,0.20992063492063492,42,0.1738095238095238
0.9,campaign_1_v2,0.43333333333333335,C,0.2072310405643739,0.21666666666666667,123,0.1865079365079365
0.9,campaign_1_v2,0.4365079365079365,C,0.21164021164021163,0.21825396825396826,456,0.19047619047619047
0.9,campaign_1_v2,0.4365079365079365,C,0.18253968253968253,0.21825396825396826,789,0.16428571428571428
0.9,campaign_1_v2,0.43333333333333335,C,0.22486772486772486,0.21666666666666667,1024,0.20238095238095238
0.8666666666666667,campaign_1_v2,0.4388888888888889,D,0.2261904761904762,0.21944444444444444,42,0.19603174603174603
0.8333333333333334,campaign_1_v2,0.4579365079365079,D,0.2123809523809524,0.22896825396825396,123,0.176984126984127
0.8666666666666667,campaign_1_v2,0.4587301587301587,D,0.20604395604395603,0.22936507936507936,456,0.17857142857142858
0.8666666666666667,campaign_1_v2,0.45476190476190476,D,0.20146520146520144,0.22738095238095238,789,0.1746031746031746
0.9,campaign_1_v2,0.4515873015873016,D,0.21252204585537918,0.2257936507936508,1024,0.19126984126984126
